english,hebrew,transliteration
dad,אַבָּא,a-ba
watermelon,אֲבַטִּיחַ,a-va-ti-ach
Spring,אָבִיב,a-viv
but,אֲבָל,a-val
thumb,אֲגוּדָל,a-gu-dal
walnut,אֱגוֹז מֶלֶךְ,e-goz me-lech
pear,אַגָּס,a-gas
red,אָדֹם,a-dom
or,אוֹ,o
ear,אֹזֶן,o-zen
bus,אוֹטוֹבּוּס,o-to-bus
food,אֹכֶל,o-chel
maybe,אוּלַי,u-lai
university,אוּנִיבֶרְסִיטָה,u-ni-ver-si-ta
bicycle,אוֹפַנַּיִם,o-fa-na-yim
rice,אֹרֶז,o-rez
"so, then",אָז,az
brother,אָח,ach
sister,אָחוֹת,a-chot
"last, final",אַחֲרוֹן,a-cha-ron
which,אֵיזֶה,ei-ze
slow,אִטִּי,i-ti
how,אֵיךְ,eich
mom,אִמָּא,i-ma
there isn’t/aren’t,אֵין,ein
where,אֵיפֹה,ei-fo
wife,אִשָּׁה,i-sha
if,אִם,im
English,אַנְגְּלִית,an-glit
we,אֲנַחְנוּ,a-nach-nu
I,אֲנִי,a-ni
pineapple,אָנָנָס,a-na-nas
forbidden,אָסוּר,a-sur
nose,אַף,af
peach,אֲפַרְסֵק,a-far-sek
(it is) possible,אֶפְשָׁר,ef-shar
"finger, toe",אֶצְבַּע,ets-ba
breakfast,אֲרוּחַת בֹּקֶר,a-ru-chat bo-ker
dinner,אֲרוּחַת עֶרֶב,a-ru-chat e-rev
lunch,אֲרוּחַת צָהֳרַיִם,a-ru-chat tso-ho-ra-yim
wallet,אַרְנָק,ar-nak
grapefruit,אֶשְׁכּוֹלִית,esh-ko-lit
you (f.),אֶת,at
you (m.),אַתָּה,a-ta
you (m.p.),אַתֶּם,a-tem
yesterday,אֶתְמוֹל,et-mol
you (f.p.),אַתֶּן,a-ten
"in, at",בְּ,"be, ba"
please,בְּבַקָּשָׁה,be-va-ka-sha
clothes,בֶּגֶד,be-ga-dim
good luck,הַצְלָחָה,be-hats-la-cha
morning,בֹּקֶר,bo-ker
outside,בַּחוּץ,ba-chuts
sweet potato,בָּטָטָה,ba-ta-ta
stomach/abdomen/tummy,בֶּטֶן,be-ten
together,בְּיַחַד,be-ya-chad
medium,בֵּינוֹנִי,bei-no-ni
